Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
2024-01-02,Other It Consultancy,"Dsit - Science, Innovation And Growth - Dsit - Geospatial",Atkinsrealis Uk Ltd,567929,134394.66,Dsit - National Underground Asset Register-other It Consultancy,Kt18 5bw,Grant
2024-01-02,Grant-in-aid To Arms Length Bodies,"Dsit - Science, Innovation And Growth - Dsit - Science, Research And Innovation",Ukri - Engineering And Physical Sciences Research Council,566724,90000000.0,Dsit - Epsrc Financing-grant-in-aid To Arms Length Bodies,Sn2 1et,Vendor
2024-01-02,Grant-in-aid To Arms Length Bodies,"Dsit - Science, Innovation And Growth - Dsit - Science, Research And Innovation",Ukri - Medical Research Council,566725,36000000.0,Dsit - Mrc Financing-grant-in-aid To Arms Length Bodies,W1n 4al,Wga Only
2024-01-02,Grant-in-aid To Arms Length Bodies,"Dsit - Science, Innovation And Growth - Dsit - Science, Research And Innovation",Ukri - Biotechnology And Biological Science Research Council,566726,10000000.0,Dsit - Research Councils Pension Scheme (Bbsrc) - Grant-grant-in-aid To Arms Length Bodies,Sn2 1uh,Wga Only
2024-01-02,Grant-in-aid To Arms Length Bodies,"Dsit - Science, Innovation And Growth - Dsit - Science, Research And Innovation",Ukri - Biotechnology And Biological Science Research Council,566730,22000000.0,Dsit - Bbsrc Financing-grant-in-aid To Arms Length Bodies,Sn2 1ff,Wga Only
2024-01-02,Capital Grants To Local Government,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,West Sussex County Council,567857,57150.0,Dsit - 5g Adoption R&D-capital Grants To Local Government,Po19 1rq,Grant
2024-01-02,Economic Consultancy & Research,"Dsit - Science, Innovation And Growth - Dsit - Science, Research And Innovation",Oecd (Organisation For Economic Co-operation And Development),567622,35496.42,Dsit - Devolved Admin-economic Consultancy & Research,75775,Vendor
2024-01-02,Other Professional Services,Dsit - Corporate Services - Dsit - Matrix Directorate,Veran Performance Ltd,567855,29851.2,Dsit - Corporate Services Admin-other Professional Services,Kt8 9ju,Vendor
2024-01-02,Grant-in-aid To Arms Length Bodies,"Dsit - Science, Innovation And Growth - Dsit - Science, Research And Innovation",Ukri - Engineering And Physical Sciences Research Council,566723,190000000.0,Dsit - Epsrc Financing-grant-in-aid To Arms Length Bodies,Sn2 1et,Vendor
2024-01-02,Other Professional Services,Dsit - Corporate Services - Dsit - Matrix Directorate,Veran Performance Ltd,567870,113553.38,Dsit - Corporate Services Admin-other Professional Services,Kt8 9ju,Vendor
