Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
03/12/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Telecom Infra Project Inc,639263,803145.95,Dsit- Onp-one-open Networks Ecosystem-capital Grants To Private Sector - Companies,1880,Grant
04/12/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,University Of Surrey,639618,1200193.63,Dsit- Onp-one-open Networks Ecosystem-capital Grants To Private Sector - Companies,Gu2 7xh,Vendor
04/12/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,University Of York,640679,396192.59,Dsit- Onp-fonrc-future Open Network Research Challenge-capital Grants To Private Sector - Companies,Yo10 5dd,Vendor
06/12/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Ultracell Networks Ltd,641182,126835.46,Dsit- Onp-one-open Networks Ecosystem-capital Grants To Private Sector - Companies,Ls2 3aa,Vendor
11/12/2024,Capital Grants To Local Government,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Dorset Council,642622,241687.06,Dsit- Onp-one-open Networks Ecosystem-capital Grants To Local Government,Dt1 1xj,Vendor
11/12/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Compound Semiconductor Applications Catapult Ltd,642928,186565.65,Dsit- Onp-one-open Networks Ecosystem-capital Grants To Private Sector - Companies,Np10 8be,Grant
16/12/2024,Capital Grants To Local Government,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Cambridgeshire County Council,642933,943882.18,Dsit- Onp-one-open Networks Ecosystem-capital Grants To Local Government,Pe28 4ye,Grant
11/12/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Awtg Ltd,642936,52846.76,Dsit Onp-flexidas (Korea)-Capital Grants To Private Sector - Companies,W3 7sr,Grant
16/12/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Digital Catapult Services Ltd,643929,189014.15,Dsit - Future Networks R&D Capital Grants-capital Grants To Private Sector - Companies,Nw1 2ra,Vendor
17/12/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Cisco International Limited,644287,290617.16,Dsit- Onp-one-open Networks Ecosystem-capital Grants To Private Sector - Companies,Tw14 8ha,Vendor
17/12/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Queen Mary University Of London,644290,98874.99,Dsit - Diversification Strategy Prog-capital Grants To Private Sector - Companies,E1 4ns,Vendor
17/12/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Queen Mary University Of London,644291,99792.82,Dsit - Diversification Strategy Prog-capital Grants To Private Sector - Companies,E1 4ns,Vendor
17/12/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Queen Mary University Of London,644293,120474.99,Dsit - Diversification Strategy Prog-capital Grants To Private Sector - Companies,E1 4ns,Vendor
17/12/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Queen Mary University Of London,644294,135347.46,Dsit - Diversification Strategy Prog-capital Grants To Private Sector - Companies,E1 4ns,Vendor
17/12/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Queen Mary University Of London,644296,138474.99,Dsit - Diversification Strategy Prog-capital Grants To Private Sector - Companies,E1 4ns,Vendor
17/12/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Real Wireless Ltd,644349,120000,Dsit - Diversification Strategy Prog-capital Grants To Private Sector - Companies,Rh12 4ru,Vendor
30/12/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Telet Research (Ni) Ltd,644827,1851168.84,Dsit- Onp-one-open Networks Ecosystem-capital Grants To Private Sector - Companies,Sw1p 3rx,Grant
