Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
09/07/2024,Current Grants To Private Sector - Npish,Dsit - Digital And Technology Group - Dsit - Digital Economy And Data Policy,Open Data Institute (Odi),608088,"£58,608.00","Dsit - Data, Strategy, Imp & Evidence Prog-current Grants To Private Sector - Npish",Ec2a 4je,Vendor
23/07/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Real Wireless Ltd,604387,"£200,000.00",Dsit - Diversification Strategy Prog-capital Grants To Private Sector - Companies,Rh12 4ru,Vendor
04/07/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Telecom Infra Project Inc,605823,"£63,970.16",Dsit- Onp-franc-future Ran Competition-capital Grants To Private Sector - Companies,1880,Grant
01/07/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,University Of Liverpool,605941,"£2,181,330.21",Dsit- Onp-one-open Networks Ecosystem-capital Grants To Private Sector - Companies,L69 7zx,Vendor
02/07/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Metaswitch Networks Ltd,606130,"£164,892.80",Dsit - Future Networks R&D Capital Grants-capital Grants To Private Sector - Companies,En1 2ag,Grant
03/07/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Satellite Applications Catapult Ltd,606573,"£71,793.40",Dsit- Onp-one-open Networks Ecosystem-capital Grants To Private Sector - Companies,Ox11 0qr,Vendor
08/07/2024,Capital Grants To Local Government,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Cambridgeshire County Council,607736,"£103,400.00",Dsit - Sof-sipp-smart Infrastructure Pilots Programme-capital Grants To Local Government,Pe28 4ye,Grant
08/07/2024,Capital Grants To Local Government,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Oxfordshire County Council,607741,"£125,000.00",Dsit - Sof-sipp-smart Infrastructure Pilots Programme-capital Grants To Local Government,Ox1 1nd,Wga Only
08/07/2024,Capital Grants To Local Government,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Royal Borough Of Kingston Upon Thames,607745,"£155,420.00",Dsit - Sof-sipp-smart Infrastructure Pilots Programme-capital Grants To Local Government,Kt1 1eu,Grant
08/07/2024,Capital Grants To Local Government,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Westminster City Council,607754,"£165,000.00",Dsit - Sof-sipp-smart Infrastructure Pilots Programme-capital Grants To Local Government,Sw1e 6qp,Wga Only
08/07/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Metaswitch Networks Ltd,608059,"£35,248.02",Dsit - Future Networks R&D Capital Grants-capital Grants To Private Sector - Companies,En1 2ag,Grant
09/07/2024,Capital Grants To Local Government,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Dorset Council,608161,"£1,065,695.63",Dsit- Onp-one-open Networks Ecosystem-capital Grants To Local Government,Dt1 1xj,Vendor
09/07/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,University Of Bristol,608185,"£2,013,883.04",Dsit- Onp-fonrc-future Open Network Research Challenge-capital Grants To Private Sector - Companies,Bs8 1th,Vendor
12/07/2024,Capital Grants To Local Government,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,North Ayrshire Council,609111,"£127,882.50",Dsit - Sof-sipp-smart Infrastructure Pilots Programme-capital Grants To Local Government,Ka12 8ee,Grant
16/07/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,University Of Sheffield,609817,"£1,200,066.30",Dsit- Onp-one-open Networks Ecosystem-capital Grants To Private Sector - Companies,S10 2uh,Grant
22/07/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,University Of Surrey,610171,"£1,268,156.39",Dsit - Future Networks R&D Capital Grants-capital Grants To Private Sector - Companies,Gu2 7xh,Vendor
23/07/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Awtg Ltd,610724,"£352,634.44",Dsit - Future Networks R&D Capital Grants-capital Grants To Private Sector - Companies,W3 7sr,Grant
23/07/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Ultracell Networks Ltd,611007,"£54,018.45",Dsit- Onp-one-open Networks Ecosystem-capital Grants To Private Sector - Companies,Ls2 3aa,Vendor
24/07/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Awtg Ltd,611142,"£535,910.18",Dsit - Future Networks R&D Capital Grants-capital Grants To Private Sector - Companies,W3 7sr,Grant
25/07/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Cisco International Limited,611356,"£384,097.34",Dsit- Onp-one-open Networks Ecosystem-capital Grants To Private Sector - Companies,Tw14 8ha,Vendor
25/07/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Telet Research (Ni) Ltd,611623,"£211,168.47",Dsit - Future Networks R&D Capital Grants-capital Grants To Private Sector - Companies,Sw1p 3rx,Grant
26/07/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Real Wireless Ltd,611718,"£40,000.00",Dsit - Diversification Strategy Prog-capital Grants To Private Sector - Companies,Rh12 4ru,Vendor
31/07/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Digital Catapult Services Ltd,612786,"£250,351.42",Dsit - Future Networks R&D Capital Grants-capital Grants To Private Sector - Companies,Nw1 2ra,Vendor
31/07/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Digital Catapult Services Ltd,612786,"£273,639.12",Dsit- Onp-sonic-smartran Open Network Interoperability Centre-capital Grants To Private Sector - Companies,Nw1 2ra,Vendor
01/07/2024,Grant-in-aid To Arms Length Bodies,"Dsit - Science, Innovation And Growth - Dsit - Science, Research And Innovation",Ukri - Natural Environment Research Council,604942,"£40,000,000.00",Dsit - Nerc Financing-grant-in-aid To Arms Length Bodies,Sn2 1eu,Wga Only
01/07/2024,Grant-in-aid To Arms Length Bodies,"Dsit - Science, Innovation And Growth - Dsit - Science, Research And Innovation",Ukri - Science And Technology Facilities Council,604944,"£40,000,000.00",Dsit - Stfc Financing-grant-in-aid To Arms Length Bodies,Sn2 1ff,Wga Only
01/07/2024,Grant-in-aid To Arms Length Bodies,"Dsit - Science, Innovation And Growth - Dsit - Science, Research And Innovation",Ukri-innovate Uk,604945,"£150,000,000.00",Dsit - Tsb Financing-grant-in-aid To Arms Length Bodies,Sn2 1fl,Wga Only
01/07/2024,Current Grants To Central Government,"Dsit - Science, Innovation And Growth - Dsit - Science, Research And Innovation",Ukri - Biotechnology And Biological Science Research Council,604946,"£10,000,000.00",Dsit - Research Councils Pension Scheme (Bbsrc) - Grant-current Grants To Central Government,Sn2 1uh,Wga Only
