Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
17/06/2024,Current Grants To Private Sector - Npish,Dsit - Digital And Technology Group - Dsit - Digital Economy And Data Policy,Open Data Institute (Odi),602857,48727,"Dsit - Data, Strategy, Imp & Evidence Prog-current Grants To Private Sector - Npish",Ec2a 4je,Vendor
06/06/2024,Current Grants To Private Sector - Npish,Dsit - Digital And Technology Group - Dsit - Security And Online Harms,The Guardian Foundation,587221,37432.82,Dsit - Oh B&Us Measures Prog-current Grants To Private Sector - Npish,N1p 2ap,Grant
11/06/2024,Consultancy Expenditure,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Ncc Group Security Services Ltd,590293,31875,Dsit - Diversification Strategy Prog-consultancy Expenditure,M3 3aq,Vendor
07/06/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Telecom Infra Project Inc,599485,1153537.84,Dsit- Onp-one-open Networks Ecosystem-capital Grants To Private Sector - Companies,01880,Grant
07/06/2024,R & D Technical Advice/Services And Support,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Satellite Applications Catapult Ltd,600663,403208,Dsit- Sof - Digital Connectivity Infrastructure Accelerator-r & D Technical Advice/Services And Support,Ox11 0qr,Vendor
12/06/2024,Capital Grants To Local Government,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Oxfordshire County Council,600678,2733425,Dsit - 5gir -5g Innovation Regions-capital Grants To Local Government,Ox1 1nd,Wga Only
06/06/2024,Capital Grants To Local Government,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Telefonica Uk Ltd,600762,334824.06,Dsit - 5gir -5g Innovation Regions-capital Grants To Local Government,Rg2 6uu,Vendor
12/06/2024,Capital Grants To Local Government,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Cumberland Council,600913,2746278.24,Dsit - 5gir -5g Innovation Regions-capital Grants To Local Government,Ca1 1rd,Grant
07/06/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Parallel Wireless Uk Ltd,600953,243342.12,Dsit - Future Networks R&D Capital Grants-capital Grants To Private Sector - Companies,Gu47 0qa,Grant
10/06/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Compound Semiconductor Applications Catapult Ltd,601254,179991.09,Dsit- Onp-one-open Networks Ecosystem-capital Grants To Private Sector - Companies,Np10 8be,Grant
14/06/2024,Capital Grants To Local Government,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Cambridgeshire County Council,602507,1166303.12,Dsit- Onp-one-open Networks Ecosystem-capital Grants To Local Government,Pe28 4ye,Grant
14/06/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Dense Air Ltd,602515,1118604.57,Dsit- Onp-one-open Networks Ecosystem-capital Grants To Private Sector - Companies,Sl7 1ey,Grant
17/06/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Nec Europe Ltd,602848,557291.04,Dsit- Onp-one-open Networks Ecosystem-capital Grants To Private Sector - Companies,Ha4 6qe,Grant
17/06/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Metaswitch Networks Ltd,602868,530471.09,Dsit- Onp-one-open Networks Ecosystem-capital Grants To Private Sector - Companies,En1 2ag,Grant
27/06/2024,R & D It Software Licences And Software Maintenance,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Provident Crm Ltd,603074,42630.3,Dsit - 5g Programme-r & D It Software Licences And Software Maintenance,Dublin 1,Vendor
