Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
12/03/2024,Marketing And Media,Dsit - Digital And Technology Group - Dsit - Data Policy,Ipsos (Market Research) Ltd,578200,43840,Dsit - Trigs - Itu & Internet Governance - Admin-marketing And Media,E1w 1yw,Vendor
12/03/2024,Marketing And Media,Dsit - Digital And Technology Group - Dsit - Data Policy,Ipsos (Market Research) Ltd,578200,259400,Dsit - Trigs - Itu & Internet Governance - Admin-marketing And Media,E1w 1yw,Vendor
21/03/2024,Current Grants To Private Sector - Npish,Dsit - Digital And Technology Group - Dsit - Data Policy,Open Data Institute (Odi),581556,43652,"Dsit - Data, Strategy, Imp & Evidence Prog-current Grants To Private Sector - Npish",Ec2a 4je,Vendor
01/03/2024,Research And Development Expenditure,Dsit - Digital And Technology Group - Dsit - Security And Online Harms,Deloitte Llp,575188,77551.33,Dsit - Soh Strategy And Analysis Programme-research And Development Expenditure,Ec4a 4tr,Vendor
04/03/2024,Current Grants To Private Sector - Npish,Dsit - Digital And Technology Group - Dsit - Security And Online Harms,The National Literacy Trust,575661,71722,Dsit - Oh B&Us Measures Prog-current Grants To Private Sector - Npish,Sw8 1rl,Grant
04/03/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Security And Online Harms,London School Of Economics And Political Science,575672,35820.23,Dsit - Oh B&Us Measures Prog-capital Grants To Private Sector - Companies,Wc2a 2ae,Vendor
12/03/2024,Current Grants To Private Sector - Npish,Dsit - Digital And Technology Group - Dsit - Security And Online Harms,Parent And Family Consulting Ltd,578328,42338.2,Dsit - Oh B&Us Measures Prog-current Grants To Private Sector - Npish,N1 9pf,Grant
13/03/2024,Research And Development Expenditure,Dsit - Digital And Technology Group - Dsit - Security And Online Harms,Perspective Economics Ltd,578668,52462.5,Dsit - Soh Strategy And Analysis Programme-research And Development Expenditure,Bt1 2be,Vendor
19/03/2024,Current Grants To Private Sector - Npish,Dsit - Digital And Technology Group - Dsit - Security And Online Harms,The Guardian Foundation,580389,29150.06,Dsit - Oh B&Us Measures Prog-current Grants To Private Sector - Npish,N1p 2ap,Grant
21/03/2024,Research And Development Expenditure,Dsit - Digital And Technology Group - Dsit - Security And Online Harms,Perspective Economics Ltd,581557,69950,Dsit - Soh Strategy And Analysis Programme-research And Development Expenditure,Bt1 2be,Vendor
22/03/2024,Research And Development Expenditure,Dsit - Digital And Technology Group - Dsit - Security And Online Harms,Deloitte Llp,581575,38775.67,Dsit - Soh Strategy And Analysis Programme-research And Development Expenditure,Ec4a 4tr,Vendor
25/03/2024,R&D Current Grants To Public Corporations,Dsit - Digital And Technology Group - Dsit - Security And Online Harms,Ukri-innovate Uk,583284,238745.67,Dsit - Soh Strategy And Analysis Programme-r&D Current Grants To Public Corporations,Sn2 1fl,Wga Only
26/03/2024,Programme Monitoring And Evaluation,Dsit - Digital And Technology Group - Dsit - Security And Online Harms,Public Group International Ltd,583619,45162,Dsit - Soh Strategy And Analysis Programme-programme Monitoring And Evaluation,Sw1a 2hu,Vendor
