Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
30/05/2024,Current Grants To Private Sector - Npish,Dsit - Digital And Technology Group - Dsit - Data Policy,Open Data Institute (Odi),599224,84359,"Dsit - Data, Strategy, Imp & Evidence Prog-current Grants To Private Sector - Npish",Ec2a 4je,Vendor
03/05/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Security And Online Harms,London School Of Economics And Political Science,593583,70142.86,Dsit - Oh B&Us Measures Prog-capital Grants To Private Sector - Companies,Wc2a 2ae,Vendor
16/05/2024,Other Professional Services,Dsit - Digital And Technology Group - Dsit - Security And Online Harms,Ukri-innovate Uk,595593,50400,Dsit - Soh Strategy And Analysis Programme-other Professional Services,Sn2 1fl,Wga Only
23/05/2024,Current Grants To Private Sector - Npish,Dsit - Digital And Technology Group - Dsit - Security And Online Harms,Glitch,596549,36301.64,Dsit - Oh B&Us Measures Prog-current Grants To Private Sector - Npish,Ec1n 8le,Grant
01/05/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,University Of Bristol,592112,1667211.24,Dsit- Onp-fonrc-future Open Network Research Challenge-capital Grants To Private Sector - Companies,Bs8 1th,Vendor
09/05/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Awtg Ltd,592817,549647.01,Dsit- Onp-one-open Networks Ecosystem-capital Grants To Private Sector - Companies,W3 7sr,Grant
10/05/2024,R & D Economic Consultancy And Research,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Pricewaterhousecoopers Llp,593492,214005.44,Dsit - Diversification Strategy Prog-r & D Economic Consultancy And Research,Wc2n 6rh,Vendor
30/05/2024,Capital Grants To Local Government,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Belfast City Council,594903,806684.5,Dsit - 5gir -5g Innovation Regions-capital Grants To Local Government,Bt2 8dj,Wga Only
30/05/2024,Capital Grants To Local Government,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Glasgow City Council,594907,2622607.06,Dsit - 5gir -5g Innovation Regions-capital Grants To Local Government,G2 1du,Vendor
30/05/2024,Capital Grants To Local Government,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Greater Manchester Combined Authority,594913,2927868.87,Dsit - 5gir -5g Innovation Regions-capital Grants To Local Government,M60 2la,Wga Only
30/05/2024,Capital Grants To Local Government,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,North Ayrshire Council,594916,2434165.29,Dsit - 5gir -5g Innovation Regions-capital Grants To Local Government,Ka12 8ee,Grant
30/05/2024,Capital Grants To Local Government,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Shropshire Council,594917,2619216,Dsit - 5gir -5g Innovation Regions-capital Grants To Local Government,Sy2 6nd,Wga Only
28/05/2024,Capital Grants To Local Government,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Sunderland City Council,594919,1896754.13,Dsit - 5gir -5g Innovation Regions-capital Grants To Local Government,Sr1 3aa,Wga Only
30/05/2024,Capital Grants To Local Government,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,West Midlands Combined Authority,594921,3172620.2,Dsit - 5gir -5g Innovation Regions-capital Grants To Local Government,B19 3sd,Grant
30/05/2024,Capital Grants To Local Government,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,West Sussex County Council,594923,3742491,Dsit - 5gir -5g Innovation Regions-capital Grants To Local Government,Po19 1rq,Grant
14/05/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Cisco International Limited,595665,294796.56,Dsit- Onp-one-open Networks Ecosystem-capital Grants To Private Sector - Companies,Tw14 8ha,Vendor
17/05/2024,R & D Consultancy Expenditure,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Kpmg Llp,596502,53500,Dsit - 5gir -5g Innovation Regions-r & D Consultancy Expenditure,E14 5gl,Vendor
31/05/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,University Of York,597115,682044.21,Dsit- Onp-one-open Networks Ecosystem-capital Grants To Private Sector - Companies,Yo10 5dd,Vendor
31/05/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Digital Catapult Services Ltd,597223,1435095.98,Dsit - Future Networks R&D Capital Grants-capital Grants To Private Sector - Companies,Nw1 2ra,Vendor
23/05/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Digital Tv Group Ltd,597878,316777.12,Dsit- Onp-one-open Networks Ecosystem-capital Grants To Private Sector - Companies,Se1 7tp,Grant
31/05/2024,Capital Grants To Local Government,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Sunderland City Council,598069,1284447.26,Dsit- Onp-one-open Networks Ecosystem-capital Grants To Local Government,Sr1 3aa,Wga Only
