Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
15/11/2024,Current Grants To Private Sector - Npish,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Open Data Institute (Odi),635321,54300,"Dsit - Data, Strategy, Imp & Evidence Prog-current Grants To Private Sector - Npish",Ec2a 4je,Vendor
06/11/2024,R & D Current Grants To Central Government,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Royal Botanic Gardens Kew,627892,77816.58,Dsit - Knowledge Asset Strengthening Programme (Kasp)-R & D Current Grants To Central Government,Tw9 3ae,Grant
14/11/2024,R & D Current Grants To Central Government,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Royal Botanic Gardens Kew,634984,50520.07,Dsit - Knowledge Asset Strengthening Programme (Kasp)-R & D Current Grants To Central Government,Tw9 3ae,Grant
26/11/2024,R & D Current Grants To Central Government,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Environment Agency,636715,72192.46,Dsit - Knowledge Asset Strengthening Programme (Kasp)-R & D Current Grants To Central Government,Np10 8fz,Wga Only
05/11/2024,Capital Grants To Private Sector - Companies,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Satellite Applications Catapult Ltd,632625,79771.5,Dsit- Onp-one-open Networks Ecosystem-capital Grants To Private Sector - Companies,Ox11 0qr,Vendor
06/11/2024,Capital Grants To Private Sector - Companies,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Digital Tv Group Ltd,632979,272047.95,Dsit- Onp-one-open Networks Ecosystem-capital Grants To Private Sector - Companies,Se1 7tp,Grant
13/11/2024,Capital Grants To Private Sector - Companies,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Digital Catapult Services Ltd,634739,1024174.29,Dsit - Future Networks R&D Capital Grants-capital Grants To Private Sector - Companies,Nw1 2ra,Vendor
13/11/2024,Capital Grants To Private Sector - Companies,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",University Of Liverpool,634982,1160071.8,Dsit- Onp-one-open Networks Ecosystem-capital Grants To Private Sector - Companies,L69 7zx,Vendor
21/11/2024,Capital Grants To Private Sector - Companies,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Real Wireless Ltd,636973,120000,Dsit - Diversification Strategy Prog-capital Grants To Private Sector - Companies,Rh12 4ru,Vendor
21/11/2024,Capital Grants To Private Sector - Companies,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Real Wireless Ltd,636974,120000,Dsit - Diversification Strategy Prog-capital Grants To Private Sector - Companies,Rh12 4ru,Vendor
22/11/2024,Capital Grants To Private Sector - Companies,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Digital Catapult Services Ltd,637267,522668.57,Dsit- Onp-sonic-smartran Open Network Interoperability Centre-capital Grants To Private Sector - Companies,Nw1 2ra,Vendor
25/11/2024,Capital Grants To Private Sector - Companies,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",University Of Bristol,637714,1796535.93,Dsit- Onp-fonrc-future Open Network Research Challenge-capital Grants To Private Sector - Companies,Bs8 1th,Vendor
26/11/2024,Capital Grants To Private Sector - Companies,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",University Of York,638455,630574.47,Dsit- Onp-one-open Networks Ecosystem-capital Grants To Private Sector - Companies,Yo10 5dd,Vendor
28/11/2024,Capital Grants To Private Sector - Companies,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Telefonica Uk Ltd,638583,158405.57,Dsit- Onp-one-open Networks Ecosystem-capital Grants To Private Sector - Companies,Rg2 6uu,Vendor
28/11/2024,Capital Grants To Private Sector - Companies,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",University Of Sheffield,638903,243693.22,Dsit- Onp-one-open Networks Ecosystem-capital Grants To Private Sector - Companies,S10 2uh,Grant
29/11/2024,Capital Grants To Private Sector - Companies,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Dense Air Ltd,639240,2605726.61,Dsit- Onp-one-open Networks Ecosystem-capital Grants To Private Sector - Companies,Sl7 1ey,Grant
07/11/2024,Capital Grants To Local Government,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Dorset Council,633365,163021,Dsit- Sof - Rural Connectivity Accelerator-capital Grants To Local Government,Dt1 1xj,Vendor
21/11/2024,Capital Grants To Local Government,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Cyngor Sir Ceredigion County Council,636753,128229,Dsit- Sof - Rural Connectivity Accelerator-capital Grants To Local Government,Sy23 3ue,Vendor
22/11/2024,Capital Grants To Local Government,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Sunderland City Council,637309,866184.79,Dsit- Onp-one-open Networks Ecosystem-capital Grants To Local Government,Sr1 3aa,Wga Only
01/11/2024,Grant-in-aid To Arms Length Bodies,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Ukri - Engineering And Physical Sciences Research Council,629982,400000000,Dsit - Epsrc Financing-grant-in-aid To Arms Length Bodies,Sn2 1ff,Vendor
01/11/2024,Grant-in-aid To Arms Length Bodies,"Dsit - Science, Innovation And Growth - Dsit - Technology And Innovation Regulation",Ukri - Medical Research Council,629983,42438000,Dsit - Mrc Financing-grant-in-aid To Arms Length Bodies,W1n 4al,Wga Only
