Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
22/10/2024,Current Grants To Private Sector - Npish,Dsit - Digital And Technology Group - Dsit - Digital Economy And Data Policy,Open Data Institute (Odi),629360,52491,"Dsit - Data, Strategy, Imp & Evidence Prog-current Grants To Private Sector - Npish",Ec2a 4je,Vendor
18/10/2024,R & D Technical Advice/Services And Support,"Dsit - Science, Innovation And Growth - Dsit - Government Office For Technology Transfer",Wellspring Emea Ltd,628971,39883.33,Dsit - Government Office For Technology Transfer-r & D Technical Advice/Services And Support,Ec1n 8te,Vendor
04/10/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Cisco International Limited,625045,242832.29,Dsit- Onp-one-open Networks Ecosystem-capital Grants To Private Sector - Companies,Tw14 8ha,Vendor
11/10/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Metaswitch Networks Ltd,626958,290870.36,Dsit- Onp-one-open Networks Ecosystem-capital Grants To Private Sector - Companies,En1 2ag,Grant
16/10/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Parallel Wireless Uk Ltd,627888,207913.91,Dsit- Onp-one-open Networks Ecosystem-capital Grants To Private Sector - Companies,Gu47 0qa,Grant
18/10/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Telet Research (Ni) Ltd,628519,1530344.07,Dsit- Onp-one-open Networks Ecosystem-capital Grants To Private Sector - Companies,Sw1p 3rx,Grant
22/10/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,University Of Durham T/A Durham University,628540,255235.4,Dsit - Diversification Strategy Prog-capital Grants To Private Sector - Companies,Dh1 3le,Vendor
21/10/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Satellite Applications Catapult Ltd,629098,346534.37,Dsit- Onp-one-open Networks Ecosystem-capital Grants To Private Sector - Companies,Ox11 0qr,Vendor
28/10/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,University Of Surrey,630186,1843659.28,Dsit- Onp-fonrc-future Open Network Research Challenge-capital Grants To Private Sector - Companies,Gu2 7xh,Vendor
28/10/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Ultracell Networks Ltd,630646,97834.4,Dsit- Onp-one-open Networks Ecosystem-capital Grants To Private Sector - Companies,Ls2 3aa,Vendor
29/10/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Digital Catapult Services Ltd,630901,800356.09,Dsit- Onp-sonic-smartran Open Network Interoperability Centre-capital Grants To Private Sector - Companies,Nw1 2ra,Vendor
31/10/2024,R & D Consultancy Expenditure,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Kpmg Llp,631822,50000,Dsit - 5gir -5g Innovation Regions-r & D Consultancy Expenditure,E14 5gl,Vendor
01/10/2024,Grant-in-aid To Arms Length Bodies,"Dsit - Science, Innovation And Growth - Dsit - Science, Research And Innovation",Ukri - Arts And Humanities Research Council,623921,10000000,Dsit - Ahrc Financing-grant-in-aid To Arms Length Bodies,Bs1 2ae,Wga Only
01/10/2024,Grant-in-aid To Arms Length Bodies,"Dsit - Science, Innovation And Growth - Dsit - Science, Research And Innovation",Ukri - Biotechnology And Biological Science Research Council,623927,25000000,Dsit - Bbsrc Financing-grant-in-aid To Arms Length Bodies,Sn2 1ff,Wga Only
01/10/2024,Grant-in-aid To Arms Length Bodies,"Dsit - Science, Innovation And Growth - Dsit - Science, Research And Innovation",Ukri - Engineering And Physical Sciences Research Council,623931,277000000,Dsit - Epsrc Financing-grant-in-aid To Arms Length Bodies,Sn2 1ff,Vendor
01/10/2024,Grant-in-aid To Arms Length Bodies,"Dsit - Science, Innovation And Growth - Dsit - Science, Research And Innovation",Ukri - Economic And Social Research Council,623936,10000000,Dsit - Esrc Financing-grant-in-aid To Arms Length Bodies,Sn2 1uj,Wga Only
