Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
17/09/2024,Ppm Consultancy,Dsit - Corporate Services - Dsit - Transformation And Innovation,Turner And Townsend Infrastructure Ltd,618213,"£28,223.18",Dsit - Cs Transition Costs Admin-ppm Consultancy,Ls18 4gh,Vendor
17/09/2024,Current Grants To Private Sector - Npish,Dsit - Digital And Technology Group - Dsit - Digital Economy And Data Policy,Open Data Institute (Odi),621430,"£44,860.00","Dsit - Data, Strategy, Imp & Evidence Prog-current Grants To Private Sector - Npish",Ec2a 4je,Vendor
06/09/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,University Of Durham T/A Durham University,618377,"£52,524.94",Dsit - Diversification Strategy Prog-capital Grants To Private Sector - Companies,Dh1 3le,Vendor
04/09/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Dense Air Ltd,618536,"£909,106.40",Dsit- Onp-one-open Networks Ecosystem-capital Grants To Private Sector - Companies,Sl7 1ey,Grant
03/09/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,University Of Sheffield,618815,"£409,471.33",Dsit- Onp-one-open Networks Ecosystem-capital Grants To Private Sector - Companies,S10 2uh,Grant
09/09/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Queen Mary University Of London,618844,"£364,998.99",Dsit - Diversification Strategy Prog-capital Grants To Private Sector - Companies,E1 4tt,Vendor
03/09/2024,Capital Grants To Local Government,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Cambridgeshire County Council,618988,"£1,388,149.80",Dsit- Onp-one-open Networks Ecosystem-capital Grants To Local Government,Pe28 4ye,Grant
04/09/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Awtg Ltd,618990,"£981,784.49",Dsit- Onp-one-open Networks Ecosystem-capital Grants To Private Sector - Companies,W3 7sr,Grant
20/09/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Telecom Infra Project Inc,619324,"£996,163.95",Dsit- Onp-one-open Networks Ecosystem-capital Grants To Private Sector - Companies,,Grant
06/09/2024,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,University Of York,619502,"£461,427.64",Dsit - Future Networks R&D Capital Grants-capital Grants To Private Sector - Companies,Yo10 5dd,Vendor
