Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
01/04/2025,Marketing And Media,Dsit - Digital And Technology Group - Dsit - Digital Economy And Data Policy,Ipsos (Market Research) Ltd,672650,325025,Dsit - Trigs - Itu & Internet Governance - Admin-marketing And Media,E1w 1yw,Vendor
04/04/2025,External Legal Advice And Service,Dsit - Digital And Technology Group - Dsit - Digital Economy And Data Policy,Dla Piper Uk Llp,674166,99999,Dsit - Digital Markets Admin-external Legal Advice And Service,Ec1a 4ht,Vendor
03/04/2025,R & D Technical Advice/Services And Support,"Dsit - Science, Innovation And Growth - Dsit - Government Office For Technology Transfer",Inngot Ltd,671521,29500,Dsit - Government Office For Technology Transfer-r & D Technical Advice/Services And Support,Sa1 1nw,Vendor
01/04/2025,R & D Technical Advice/Services And Support,"Dsit - Science, Innovation And Growth - Dsit - Government Office For Technology Transfer",Venturebright Ltd,672546,25000,Dsit - Government Office For Technology Transfer-r & D Technical Advice/Services And Support,W1 W7st,Vendor
02/04/2025,R & D Current Grants To Central Government,"Dsit - Science, Innovation And Growth - Dsit - Government Office For Technology Transfer",The Natural History Museum,673274,27178.61,Dsit - Knowledge Asset Strengthening Programme (Kasp)-R & D Current Grants To Central Government,Sw7 5bd,Vendor
02/04/2025,Economic Consultancy & Research,Dsit - Digital And Technology Group - Dsit - Security And Online Harms,Perspective Economics Ltd,667651,52462.5,Dsit - Soh Strategy And Analysis Programme-economic Consultancy & Research,Bt1 2be,Vendor
02/04/2025,It Software Licences And Software Maintenance,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Enableit Technologies Ltd,671601,36432,Dsit - Diversification Strategy Prog-it Software Licences And Software Maintenance,Ip5 3rg,Vendor
09/04/2025,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Awtg Ltd,674491,1176259.07,Dsit- Onp-one-open Networks Ecosystem-capital Grants To Private Sector - Companies,W3 7sr,Grant
14/04/2025,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Telet Research (Ni) Ltd,677125,823967.83,Dsit- Onp-one-open Networks Ecosystem-capital Grants To Private Sector - Companies,Sw1p 3rx,Grant
17/04/2025,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Digital Catapult Services Ltd,679424,733059.28,Dsit- Onp-sonic-smartran Open Network Interoperability Centre-capital Grants To Private Sector - Companies,Nw1 2ra,Vendor
22/04/2025,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Digital Catapult Services Ltd,679598,208709.29,Dsit - Future Networks R&D Capital Grants-capital Grants To Private Sector - Companies,Nw1 2ra,Vendor
22/04/2025,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Cisco International Limited,679896,354407.13,Dsit- Onp-one-open Networks Ecosystem-capital Grants To Private Sector - Companies,Tw14 8ha,Vendor
