Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
24/02/2025,Other Professional Services,Dsit - Digital And Technology Group - Dsit - Digital Economy And Data Policy,Department Of Health And Social Care,659473,186120,"Dsit - Data, Strategy, Imp & Evidence Prog-other Professional Services",Se1 6ef,Wga Only
25/02/2025,R & D Technical Advice/Services And Support,"Dsit - Science, Innovation And Growth - Dsit - Government Office For Technology Transfer",Inngot Ltd,660261,25500,Dsit - Government Office For Technology Transfer-r & D Technical Advice/Services And Support,Sa1 1nw,Vendor
12/02/2025,Marketing And Media,Dsit - Digital And Technology Group - Dsit - Security And Online Harms,London Economics Ltd,655892,54878.75,Dsit - Soh Strategy And Analysis Programme-marketing And Media,Wc2r 1la,Vendor
03/02/2025,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Digital Catapult Services Ltd,653391,1013104.83,Dsit- Onp-sonic-smartran Open Network Interoperability Centre-capital Grants To Private Sector - Companies,Nw1 2ra,Vendor
05/02/2025,R & D Consultancy Expenditure,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Building Digital Uk (Bduk),655300,44610.53,Dsit - Diversification Strategy Prog-r & D Consultancy Expenditure,Sw1a 2bq,Grant
12/02/2025,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Digital Tv Group Ltd,656896,239745.18,Dsit- Onp-one-open Networks Ecosystem-capital Grants To Private Sector - Companies,Se1 7tp,Grant
12/02/2025,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,University Of Sheffield,657528,276627.29,Dsit- Onp-one-open Networks Ecosystem-capital Grants To Private Sector - Companies,S10 2uh,Grant
14/02/2025,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,University Of York,657899,703280.91,Dsit- Onp-one-open Networks Ecosystem-capital Grants To Private Sector - Companies,Yo10 5dd,Vendor
24/02/2025,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,University Of York,659190,508422.94,Dsit- Onp-fonrc-future Open Network Research Challenge-capital Grants To Private Sector - Companies,Yo10 5dd,Vendor
25/02/2025,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Digital Catapult Services Ltd,659431,1044001.89,Dsit - Future Networks R&D Capital Grants-capital Grants To Private Sector - Companies,Nw1 2ra,Vendor
28/02/2025,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Telecom Infra Project Inc,659633,724505.79,Dsit- Onp-one-open Networks Ecosystem-capital Grants To Private Sector - Companies,1880,Grant
