Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
23/01/2025,R & D Current Grants To Central Government,"Dsit - Science, Innovation And Growth - Dsit - Government Office For Technology Transfer",Environment Agency,651823,60160.38,Dsit - Knowledge Asset Strengthening Programme (Kasp)-R & D Current Grants To Central Government,Np10 8fz,Wga Only
27/01/2025,R & D Technical Advice/Services And Support,"Dsit - Science, Innovation And Growth - Dsit - Government Office For Technology Transfer",Ukri-innovate Uk,652633,84990,Dsit - Government Office For Technology Transfer-r & D Technical Advice/Services And Support,Sn2 1fl,Wga Only
17/01/2025,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Metaswitch Networks Ltd,650853,407872.52,Dsit- Onp-one-open Networks Ecosystem-capital Grants To Private Sector - Companies,En1 2ag,Grant
31/01/2025,Capital Grants To Private Sector - Companies,Dsit - Digital And Technology Group - Dsit - Digital Infrastructure,Real Wireless Ltd,653006,120000,Dsit - Diversification Strategy Prog-capital Grants To Private Sector - Companies,Rh12 4ru,Vendor
02/01/2025,Grant-in-aid To Arms Length Bodies,"Dsit - Science, Innovation And Growth - Dsit - Science, Research And Innovation",Advanced Research And Invention Agency (Aria),646738,1794986,Dsit - Advanced Research And Invention Agency (Aria) Financing-grant-in-aid To Arms Length Bodies,Nw1 2da,Grant
02/01/2025,Grant-in-aid To Arms Length Bodies,"Dsit - Science, Innovation And Growth - Dsit - Science, Research And Innovation",Ukri - Biotechnology And Biological Science Research Council,646743,40000000,Dsit - Bbsrc Financing-grant-in-aid To Arms Length Bodies,Sn2 1ff,Wga Only
02/01/2025,Grant-in-aid To Arms Length Bodies,"Dsit - Science, Innovation And Growth - Dsit - Science, Research And Innovation",Ukri - Engineering And Physical Sciences Research Council,646746,455000000,Dsit - Epsrc Financing-grant-in-aid To Arms Length Bodies,Sn2 1ff,Vendor
02/01/2025,Grant-in-aid To Arms Length Bodies,"Dsit - Science, Innovation And Growth - Dsit - Science, Research And Innovation",Ukri - Economic And Social Research Council,646748,15000000,Dsit - Esrc Financing-grant-in-aid To Arms Length Bodies,Sn2 1uj,Wga Only
02/01/2025,Grant-in-aid To Arms Length Bodies,"Dsit - Science, Innovation And Growth - Dsit - Science, Research And Innovation",Ukri - Medical Research Council,646750,54088000,Dsit - Mrc Financing-grant-in-aid To Arms Length Bodies,W1n 4al,Wga Only
02/01/2025,Grant-in-aid To Arms Length Bodies,"Dsit - Science, Innovation And Growth - Dsit - Science, Research And Innovation",Ukri - Natural Environment Research Council,646752,46400000,Dsit - Nerc Financing-grant-in-aid To Arms Length Bodies,Sn2 1eu,Wga Only
02/01/2025,Grant-in-aid To Arms Length Bodies,"Dsit - Science, Innovation And Growth - Dsit - Science, Research And Innovation",Ukri - Science And Technology Facilities Council,646754,145000000,Dsit - Stfc Financing-grant-in-aid To Arms Length Bodies,Sn2 1sz,Wga Only
02/01/2025,Grant-in-aid To Arms Length Bodies,"Dsit - Science, Innovation And Growth - Dsit - Science, Research And Innovation",Ukri-innovate Uk,646756,75000000,Dsit - Tsb Financing-grant-in-aid To Arms Length Bodies,Sn2 1fl,Wga Only
02/01/2025,Current Grants To Central Government,"Dsit - Science, Innovation And Growth - Dsit - Science, Research And Innovation",Ukri - Biotechnology And Biological Science Research Council,646758,10000000,Dsit - Research Councils Pension Scheme (Bbsrc) - Grant-current Grants To Central Government,Sn2 1uh,Wga Only
02/01/2025,Grant-in-aid To Arms Length Bodies,"Dsit - Science, Innovation And Growth - Dsit - Science, Research And Innovation",Ukri - Arts And Humanities Research Council,647026,10000000,Dsit - Ahrc Financing-grant-in-aid To Arms Length Bodies,Bs1 2ae,Wga Only
07/01/2025,Clearing Account   - Cost - Computer Equipment,Dsit - Corporate Services - Dsit - Ics Recharges,Dell Corporation Ltd,646751,48420,Dsit - Digital Infrastructure And Maintenance-clearing Account   - Cost - Computer Equipment,Ec3a 5af,Vendor
07/01/2025,Clearing Account   - Cost - Computer Equipment,Dsit - Corporate Services - Dsit - Ics Recharges,Dell Corporation Ltd,647339,48420,Dsit - Digital Infrastructure And Maintenance-clearing Account   - Cost - Computer Equipment,Ec3a 5af,Vendor
07/01/2025,Clearing Account   - Cost - Computer Equipment,Dsit - Corporate Services - Dsit - Ics Recharges,Dell Corporation Ltd,647342,48420,Dsit - Digital Infrastructure And Maintenance-clearing Account   - Cost - Computer Equipment,Ec3a 5af,Vendor
07/01/2025,Clearing Account   - Cost - Computer Equipment,Dsit - Corporate Services - Dsit - Ics Recharges,Dell Corporation Ltd,647343,48420,Dsit - Digital Infrastructure And Maintenance-clearing Account   - Cost - Computer Equipment,Ec3a 5af,Vendor
07/01/2025,Clearing Account   - Cost - Computer Equipment,Dsit - Corporate Services - Dsit - Ics Recharges,Dell Corporation Ltd,647345,48420,Dsit - Digital Infrastructure And Maintenance-clearing Account   - Cost - Computer Equipment,Ec3a 5af,Vendor
20/01/2025,Clearing Account   - Cost - Computer Equipment,Dsit - Corporate Services - Dsit - Ics Recharges,Dell Corporation Ltd,650858,48420,Dsit - Digital Infrastructure And Maintenance-clearing Account   - Cost - Computer Equipment,Rg12 1rd,Vendor
29/01/2025,Clearing Account   - Cost - Computer Equipment,Dsit - Corporate Services - Dsit - Ics Recharges,Dell Corporation Ltd,652714,48420,Dsit - Digital Infrastructure And Maintenance-clearing Account   - Cost - Computer Equipment,Ec3a 5af,Vendor
29/01/2025,Clearing Account   - Cost - Computer Equipment,Dsit - Corporate Services - Dsit - Ics Recharges,Dell Corporation Ltd,652732,48420,Dsit - Digital Infrastructure And Maintenance-clearing Account   - Cost - Computer Equipment,Ec3a 5af,Vendor
09/01/2025,Consultancy Expenditure,Dsit - Digital And Technology Group - Dsit - International,Silicon Catalyst Uk Ltd,648962,47233,Dsit - I&Es - Semis - Programme-consultancy Expenditure,Sw1p 2pn,Vendor
03/01/2025,R & D Uncapitalised Construction Costs,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Government Property Agency,643437,1419531.37,Dsit - Ecmwf Hq-r & D Uncapitalised Construction Costs,B3 2bj,Vendor
03/01/2025,R & D Uncapitalised Construction Costs,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Government Property Agency,643442,1238831.39,Dsit - Ecmwf Hq-r & D Uncapitalised Construction Costs,B3 2bj,Vendor
08/01/2025,R & D Contributions,"Dsit - Science, Innovation And Growth - Dsit - International Research And Innovation Directorate",Wokingham Borough Council,648588,51675.81,Dsit - Ecmwf Hq-r & D Contributions,Rg40 1wj,Grant
16/01/2025,Clearing Account   - Cost - Computer Equipment,Dsit - Corporate Services - Dsit - Ics Recharges,Bechtle Ltd,650116,218337.96,Dsit - Digital Infrastructure And Maintenance-clearing Account   - Cost - Computer Equipment,Sn14 0gf,Vendor
30/01/2025,R & D Outsourced Other,"Dsit - Science, Innovation And Growth - Dsit - Office For Life Sciences",Oxford Nanopore Technologies Plc,653610,13750000,Dsit - Devolved Admin-r & D Outsourced Other,Ox4 4dq,Vendor
27/01/2025,R & D Other Professional Services,Dsit - Digital And Technology Group - Dsit - Responsible Technology Adoption Unit,Icf Consulting Services Ltd,652619,28640,Dsit - Tactical Fund-r & D Other Professional Services,Ec4r 1be,Vendor
28/01/2025,Consultancy Expenditure,Dsit - Digital And Technology Group - Dsit - International,Government Communications Headquarters (Gchq),653005,61938.3,Dsit - Trigs - Itu & Internet Governance - Programme-consultancy Expenditure,Gl51 0ex,Vendor
29/01/2025,R & D Other Professional Services,Dsit - Chief Scientific Adviser - Dsit - Csa Dg Office,Ifm Engage Ltd,653055,30000,Dsit - Cs - Csa - R&D-r & D Other Professional Services,Cb3 0fs,Vendor
29/01/2025,R & D Other Professional Services,Dsit - Chief Scientific Adviser - Dsit - Csa Dg Office,Ifm Engage Ltd,653056,27000,Dsit - Cs - Csa - R&D-r & D Other Professional Services,Cb3 0fs,Vendor
17/01/2025,Pr & Marketing Advice & Services,Dsit - Digital And Technology Group - Dsit - Ai Policy,Oecd (Organisation For Economic Co-operation And Development),649901,44889.36,Dsit - Admin Nrf Digital Tech-pr & Marketing Advice & Services,75775,Vendor
